year,Propinsi,frekuensi_banjir,total_area_km2,median_durasi_hari
2000,DI. ACEH,1,2734.230080022637,0.0
2000,NUSA TENGGARA TIMUR,1,76.44364320111634,0.0
2001,BALI,1,372.3702121230287,0.0
2001,LAMPUNG,1,50.0686195352977,0.0
2001,SUMATERA SELATAN,1,50.0686195352977,0.0
2002,DI. ACEH,2,1136.8696103298428,0.0
2002,DKI JAKARTA,7,985.569398412953,0.0
2002,JAWA BARAT,5,952.4906973783692,1.0
2002,JAWA TENGAH,6,35.6062070094754,0.0
2002,JAWA TIMUR,7,1989.208608426043,0.0
2002,PROBANTEN,2,661.9178377621182,0.5
2002,SULAWESI SELATAN,1,25.15462649783586,0.0
2002,SUMATERA UTARA,1,4138.235347803469,2.0
2003,BALI,6,26.881181443358546,0.0
2003,DI. ACEH,1,1113.8849577432118,2.0
2003,JAWA TENGAH,12,850.4404356169105,2.0
2003,JAWA TIMUR,1,10.492068582435655,0.0
2003,SUMATERA UTARA,2,1132.3745229982287,2.0
2004,DI. ACEH,7,170.79105007904678,0.0
2004,SUMATERA BARAT,1,1378.5580644572353,0.0
2005,DKI JAKARTA,10,701.8184845640935,0.0
2005,JAWA BARAT,2,672.9814631262897,0.0
2005,JAWA TIMUR,4,328.30133597538855,0.0
2005,PROBANTEN,3,3489.2852486248203,0.0
2006,DAERAH ISTIMEWA YOGYAKARTA,1,0.28010988048816354,1.0
2006,DI. ACEH,12,14743.237657183481,4.0
2006,GORONTALO,1,162.8419224983532,1.0
2006,JAWA BARAT,3,95.68444715654229,1.0
2006,JAWA TENGAH,3,1310.0059011524465,0.0
2006,JAWA TIMUR,70,10314.503043947703,0.0
2006,PROBANTEN,6,78.56973781527161,0.0
2006,SULAWESI SELATAN,11,3769.241450208488,1.0
2006,SULAWESI TENGAH,3,39.32933493264437,0.0
2006,SULAWESI UTARA,1,162.8419224983532,1.0
2006,SUMATERA BARAT,1,130.64254970023416,0.0
2006,SUMATERA UTARA,2,2293.0254540235146,2.0
2007,BALI,1,362.06501166867537,0.0
2007,DAERAH ISTIMEWA YOGYAKARTA,2,2440.935182388045,0.0
2007,DI. ACEH,1,17.44841520720864,0.0
2007,DKI JAKARTA,51,2901.9481736913376,0.0
2007,JAWA BARAT,15,7669.413133969463,1.0
2007,JAWA TENGAH,17,7706.418786897488,1.0
2007,JAWA TIMUR,30,8785.770497601397,0.0
2007,KALIMANTAN TIMUR,8,9332.509933408288,1.0
2007,NUSA TENGGARA TIMUR,3,2733.7376607674346,0.0
2007,PROBANTEN,7,5135.587122093755,1.0
2007,SULAWESI SELATAN,1,4086.1390177210465,4.0
2007,SULAWESI TENGAH,2,4106.436947655281,3.5
2007,SULAWESI TENGGARA,1,4086.1390177210465,4.0
2008,DI. ACEH,7,5138.954280231218,4.0
2008,DKI JAKARTA,8,2254.88108251626,0.0
2008,JAWA BARAT,14,2580.4809742342527,0.5
2008,JAWA TENGAH,2,1034.9924001717818,0.0
2008,JAWA TIMUR,7,1875.9783501132524,0.0
2008,KALIMANTAN TIMUR,5,6907.974918158378,0.0
2008,LAMPUNG,5,23.290181890780676,0.0
2008,MALUKU UTARA,2,259.3899965175211,1.0
2008,NUSA TENGGARA TIMUR,6,6564.8632596857515,0.0
2008,PROBANTEN,3,1906.6086680124317,1.0
2008,SUMATERA BARAT,1,93.29886023521216,0.0
2009,DI. ACEH,6,561.435316911854,0.0
2009,DKI JAKARTA,82,5730.998769782652,0.0
2009,JAMBI,9,1439.6269300968881,2.0
2009,JAWA BARAT,83,8629.10736087884,0.0
2009,JAWA TENGAH,32,15199.978866744712,1.0
2009,JAWA TIMUR,73,13557.500327161608,0.0
2009,KALIMANTAN TIMUR,29,23980.19810725949,2.0
2009,LAMPUNG,8,856.3166498291068,1.0
2009,NUSA TENGGARA TIMUR,3,508.4106271349449,3.0
2009,PROBANTEN,31,8355.8463319526,0.0
2009,RIAU,18,13042.596037743588,0.0
2009,SULAWESI SELATAN,10,1551.7904538740481,3.0
2009,SULAWESI TENGAH,4,131.74185443127058,0.5
2009,SUMATERA BARAT,17,8456.09982932667,0.0
2009,SUMATERA SELATAN,1,255.83290416716892,0.0
2009,SUMATERA UTARA,22,8235.152160839141,0.0
2010,BALI,13,2500.3872253211407,0.0
2010,BENGKULU,3,12896.155386378585,0.0
2010,DAERAH ISTIMEWA YOGYAKARTA,36,2587.0848311742952,0.0
2010,DI. ACEH,17,13314.789200269872,1.0
2010,DKI JAKARTA,148,5658.541740891295,0.0
2010,GORONTALO,40,91.19163411152482,1.0
2010,IRIAN JAYA BARAT,2,99.09410421641414,3.0
2010,IRIAN JAYA TIMUR,3,55.310784422639735,0.0
2010,JAMBI,18,2488.39894461612,0.0
2010,JAWA BARAT,161,22541.15114377875,0.0
2010,JAWA TENGAH,178,26516.462252751353,0.0
2010,JAWA TIMUR,167,24920.788704291183,0.0
2010,KALIMANTAN BARAT,10,1437.3836888562457,0.0
2010,KALIMANTAN SELATAN,15,5371.28796043571,2.0
2010,KALIMANTAN TENGAH,12,1215.0554327500606,2.0
2010,KALIMANTAN TIMUR,28,946.2993917615249,0.0
2010,LAMPUNG,14,17444.552014177167,0.0
2010,NUSA TENGGARA TIMUR,14,1966.5509081105706,0.0
2010,PROBANTEN,66,6906.208853770865,0.0
2010,RIAU,7,4371.457250827348,0.0
2010,SULAWESI SELATAN,25,18878.77606688681,0.0
2010,SULAWESI TENGAH,2,3247.196728218894,0.0
2010,SULAWESI TENGGARA,9,3950.225869052592,0.0
2010,SULAWESI UTARA,1,0.9194283838185763,1.0
2010,SUMATERA BARAT,27,6659.230406454126,0.0
2010,SUMATERA SELATAN,35,35815.83402936618,0.0
2010,SUMATERA UTARA,21,7539.469511932483,0.0
2011,BENGKULU,5,3559.462185627558,1.0
2011,DAERAH ISTIMEWA YOGYAKARTA,75,15205.903702436943,0.0
2011,DI. ACEH,88,19618.68167011143,1.0
2011,DKI JAKARTA,88,1347.466638794051,0.0
2011,GORONTALO,15,2330.873232123215,0.0
2011,IRIAN JAYA TENGAH,12,17139.709511899822,0.0
2011,IRIAN JAYA TIMUR,3,14072.829977478697,0.0
2011,JAMBI,14,4854.504958286192,1.0
2011,JAWA BARAT,77,9803.996531387145,0.0
2011,JAWA TENGAH,242,29393.37947348334,0.0
2011,JAWA TIMUR,157,16120.007237037727,1.0
2011,KALIMANTAN BARAT,28,7035.940684321245,0.0
2011,KALIMANTAN SELATAN,5,5155.801201054753,3.0
2011,KALIMANTAN TENGAH,9,126.5132453371264,0.0
2011,KALIMANTAN TIMUR,111,43879.18416794578,0.0
2011,LAMPUNG,1,103.89319348555546,0.0
2011,NUSA TENGGARA TIMUR,28,4781.341997298328,0.0
2011,NUSATENGGARA BARAT,11,792.2679409547108,0.0
2011,PROBANTEN,14,6854.676910659104,0.5
2011,RIAU,42,11116.50525104045,0.0
2011,SULAWESI SELATAN,71,25565.501538582546,0.0
2011,SULAWESI TENGAH,14,2298.593932968261,0.0
2011,SULAWESI TENGGARA,7,833.1705808618179,1.0
2011,SULAWESI UTARA,33,6877.846961243897,0.0
2011,SUMATERA BARAT,35,20940.382496526287,0.0
2011,SUMATERA SELATAN,16,1773.8785571214744,0.5
2011,SUMATERA UTARA,151,17370.50951917319,1.0
2012,BALI,3,540.4721021143107,0.0
2012,BENGKULU,13,12236.643947721139,1.0
2012,DAERAH ISTIMEWA YOGYAKARTA,33,10806.163967012673,0.0
2012,DI. ACEH,65,25435.95452620554,0.0
2012,DKI JAKARTA,347,9080.082786516507,1.0
2012,GORONTALO,8,1659.294530959046,0.0
2012,IRIAN JAYA BARAT,1,81.94233028425157,0.0
2012,IRIAN JAYA TENGAH,1,4690.9433258262325,0.0
2012,IRIAN JAYA TIMUR,2,4705.158284723438,0.0
2012,JAMBI,57,24413.437667908533,1.0
2012,JAWA BARAT,230,20452.195451607353,0.0
2012,JAWA TENGAH,196,23915.462748090606,1.0
2012,JAWA TIMUR,135,9467.697438605433,0.0
2012,KALIMANTAN BARAT,34,7153.4140379164455,1.0
2012,KALIMANTAN SELATAN,14,3691.5586854815106,1.0
2012,KALIMANTAN TENGAH,29,7944.867088191516,1.0
2012,KALIMANTAN TIMUR,53,19001.07831103789,0.0
2012,LAMPUNG,13,15503.222352690582,0.0
2012,MALUKU,7,13613.235724727541,2.0
2012,NUSA TENGGARA TIMUR,8,1337.4783712241508,4.0
2012,NUSATENGGARA BARAT,14,3370.0292833498934,1.0
2012,PROBANTEN,147,20057.115783458554,1.0
2012,RIAU,36,21768.952538170564,0.5
2012,SULAWESI SELATAN,52,24415.42952020806,0.0
2012,SULAWESI TENGAH,18,3811.5375308806597,0.5
2012,SULAWESI TENGGARA,4,91.50345479702379,0.0
2012,SULAWESI UTARA,2,1648.6558080608363,0.5
2012,SUMATERA BARAT,83,33232.69302467937,0.0
2012,SUMATERA SELATAN,36,24098.063999430127,0.0
2012,SUMATERA UTARA,103,50024.083611942,0.0
2013,BALI,6,1260.3805099384251,0.0
2013,BENGKULU,22,34477.04031638823,1.0
2013,DAERAH ISTIMEWA YOGYAKARTA,60,5043.5472938792345,0.0
2013,DI. ACEH,175,81297.08633338384,1.0
2013,DKI JAKARTA,954,18295.227399433792,0.0
2013,GORONTALO,52,20835.30104063982,1.0
2013,IRIAN JAYA BARAT,3,412.0435087818355,0.0
2013,IRIAN JAYA TENGAH,6,3421.8765699746646,0.0
2013,IRIAN JAYA TIMUR,12,554.0102177957442,1.0
2013,JAMBI,56,37132.812015019954,1.0
2013,JAWA BARAT,485,61052.24148479757,0.0
2013,JAWA TENGAH,314,52424.54304034134,0.0
2013,JAWA TIMUR,722,66790.89894884435,0.0
2013,KALIMANTAN BARAT,51,11827.496183390347,0.0
2013,KALIMANTAN SELATAN,17,17605.96355795727,0.0
2013,KALIMANTAN TENGAH,50,19026.170178089473,0.0
2013,KALIMANTAN TIMUR,148,45024.61840429673,1.0
2013,LAMPUNG,79,26967.958228775886,1.0
2013,MALUKU,3,470.7111008720753,0.0
2013,NUSA TENGGARA TIMUR,37,8805.967360015473,1.0
2013,NUSATENGGARA BARAT,19,3119.7700806684857,0.0
2013,PROBANTEN,268,41384.01969006931,0.0
2013,RIAU,78,21397.682582826117,1.0
2013,SULAWESI SELATAN,267,81531.75544260998,0.0
2013,SULAWESI TENGAH,26,50865.185072780565,0.5
2013,SULAWESI TENGGARA,131,55163.796017378154,0.0
2013,SULAWESI UTARA,68,6263.455106141099,1.0
2013,SUMATERA BARAT,48,36218.596366521684,0.0
2013,SUMATERA SELATAN,42,24517.451377007776,0.0
2013,SUMATERA UTARA,201,28970.71628825921,1.0
2014,BALI,24,7776.093018783247,3.0
2014,BENGKULU,21,14508.826857211247,1.0
2014,DAERAH ISTIMEWA YOGYAKARTA,47,14865.185180084836,0.0
2014,DI. ACEH,366,93437.09380196352,1.0
2014,DKI JAKARTA,1734,25610.047793962985,0.0
2014,GORONTALO,9,7276.066341023248,1.0
2014,IRIAN JAYA BARAT,3,406.0382595185179,0.0
2014,IRIAN JAYA TIMUR,15,815.2324697713896,0.0
2014,JAMBI,63,37662.105034962144,1.0
2014,JAWA BARAT,1002,93944.44578307534,0.0
2014,JAWA TENGAH,880,89867.51845509908,0.0
2014,JAWA TIMUR,463,40189.19722308089,0.0
2014,KALIMANTAN BARAT,28,5196.019908821338,0.0
2014,KALIMANTAN SELATAN,41,8850.573210579421,0.0
2014,KALIMANTAN TENGAH,25,3490.7621661521202,1.0
2014,KALIMANTAN TIMUR,64,28103.75730970169,0.0
2014,LAMPUNG,31,36620.77927120011,0.0
2014,MALUKU,2,1067.575970247216,0.0
2014,NUSA TENGGARA TIMUR,41,5962.181243380618,0.0
2014,NUSATENGGARA BARAT,18,2824.0835132122343,1.0
2014,PROBANTEN,406,36046.85206331222,0.0
2014,RIAU,169,46988.46588199359,0.0
2014,SULAWESI SELATAN,82,34489.30900905744,0.0
2014,SULAWESI TENGAH,57,32650.744169186473,1.0
2014,SULAWESI UTARA,167,22671.759532123495,0.0
2014,SUMATERA BARAT,87,61611.4235958727,1.0
2014,SUMATERA SELATAN,64,30349.870878724938,0.0
2014,SUMATERA UTARA,86,50627.00705705361,1.0
2015,BALI,5,1195.0304798820825,0.0
2015,BENGKULU,38,32657.97050973618,0.0
2015,DAERAH ISTIMEWA YOGYAKARTA,108,8874.943419603662,0.5
2015,DI. ACEH,1203,200536.97720255415,1.0
2015,DKI JAKARTA,1137,19330.497394114645,1.0
2015,GORONTALO,23,2272.3820268202803,0.0
2015,IRIAN JAYA BARAT,6,1580.9583450049722,0.0
2015,IRIAN JAYA TIMUR,3,3798.2594331281844,0.0
2015,JAMBI,94,27704.897045163427,0.0
2015,JAWA BARAT,489,40432.44875232997,0.0
2015,JAWA TENGAH,375,37571.58936459864,1.0
2015,JAWA TIMUR,372,36824.7017030617,0.0
2015,KALIMANTAN BARAT,111,38868.29545963158,0.0
2015,KALIMANTAN SELATAN,154,23023.18303839752,0.0
2015,KALIMANTAN TENGAH,85,20067.671710396404,0.0
2015,KALIMANTAN TIMUR,201,47181.33986515824,0.0
2015,LAMPUNG,82,15918.55356925439,0.0
2015,MALUKU,9,474.0616362679297,0.0
2015,NUSA TENGGARA TIMUR,57,2538.921908554883,0.0
2015,NUSATENGGARA BARAT,44,8317.761667787763,0.0
2015,PROBANTEN,278,35144.99808882417,0.0
2015,RIAU,139,52247.145228924346,0.0
2015,SULAWESI SELATAN,149,27468.9893760369,0.0
2015,SULAWESI TENGAH,27,14194.049595616118,1.0
2015,SULAWESI TENGGARA,11,1562.0605337561697,1.0
2015,SULAWESI UTARA,39,4211.615857071024,0.0
2015,SUMATERA BARAT,145,41815.19214799817,0.0
2015,SUMATERA SELATAN,111,26152.955374184607,0.0
2015,SUMATERA UTARA,321,47314.66214348468,0.0
2016,BALI,51,8359.375020465855,0.0
2016,BENGKULU,120,44260.15754077346,0.0
