year,frekuensi_banjir,total_area_km2,median_durasi_hari
2000,2,2810.6737232237533,0.0
2001,2,422.4388316583264,0.0
2002,26,8314.873102559006,0.0
2003,21,2020.1882086409332,2.0
2004,8,1549.349114536282,0.0
2005,16,3883.868846493491,0.0
2006,111,30644.336154475655,0.0
2007,113,34189.78093874447,0.0
2008,53,24616.529649191933,0.0
2009,386,75758.23984923954,0.0
2010,987,156729.04111031306,0.0
2011,1273,220322.0587447451,0.0
2012,1611,264884.7346673691,0.0
2013,4121,597892.5583796442,0.0
2014,5575,609098.0211222232,0.0
2015,5528,624819.1355566572,0.0
2016,11920,1511171.428498427,0.0
2017,13517,1795325.3657933704,0.0
2018,12909,1873289.6014461406,0.0
2019,14883,1890554.074793949,0.0
2020,29678,4721408.249081124,0.0
2021,32177,4041691.9021002194,0.0
2022,36675,4259660.8657280905,0.0
2023,25850,3184409.663878447,0.0
2024,43075,5663501.9887920795,0.0
2025,59246,6494240.367335317,0.0
2026,10934,927207.851748879,0.0
